Unnamed: 0.1,Unnamed: 0,Id_Number,Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional),GPT-4-Turbo_Binary_response,GPT-4-Turbo_milticlass_response,binary_ground_truth,binary_prediction,Should statements,Emotional Reasoning,Mental filter,Fortune-telling,Magnification,Labeling,All-or-nothing thinking,Mind Reading,Personalization,Overgeneralization,No Distortion
1264,1264,1082,"I’m in a long term relationship, over 10 years, with my partner. We are a lesbian couple. From the begining of our relationship she has been telling me that she would be a bad partner. I always refused this. She is a wonderfull partner and I love her dearly. I also feel that she does. We do have some difficulties but usually are able to talk it through. Now, she has a loss of desire for me. Our sex life is almost inexistant.","We do have some difficulties but usually are able to talk it through. Now, she has a loss of desire for me. Our sex life is almost inexistant.",All-or-nothing thinking,,Yes,No Distortion,1,1,0,0,0,0,0,0,1,0,0,0,0
1846,1846,1764,"Recently I feel like I have been acting odd and people are starting to notice. I randomly zone out and have visual hallucinations like tall silhouettes and people following me. There’s also a voice in my head that will whisper to me during the day, but becomes extremely more vocal at night. Sometimes they’ll tell me to do odd things like hide under a desk or confess my undying love or hate to a stranger. Sometimes it’s worse, they just whisper my name over and over, sometimes tell me to kill or hurt people that I wouldn’t want to. They also seem to control my thoughts and feelings, because sometimes they say I need help and I believe them. Other times they say I don’t and I believe them. They generally control how I feel about people. I’m also convinced that other people can read my thoughts, maybe not everyone, but definitely most people. Nobody else believes me and I really do want an answer. Thank you very much.","I’m also convinced that other people can read my thoughts, maybe not everyone, but definitely most people.",Mind Reading,,No,Mind Reading,1,0,0,0,0,0,0,0,0,1,0,0,0
2150,2150,2011,"It has been around 1.5 years since we were in relationship. The decision was the result of his persistent efforts to help me at working every situation (we were in the same college and office too). Though he is not good at looks, a silent type of guy(unlike me), I considered him for hope for his improved life because of me,his nice family(As he told) and his nature. In the beginning, things were awesome, we used to roam across the city, visit temples, and be happy wherever we would go. But since 2-3 months, I began to feel, things have turned dull, because after knowing each other, we have nothing to discuss, sometimes, he doesn’t say a single work for minutes on phone. And when I complain, he says that silence speaks more than words, and he is happy with me. But this dullness and boredom made me depressed many times, specially the fact that he is suffering from many illnesses like dryness, obesity, very poor eyesight which I thought he would be enthusiastic to cure for me,but he didn’t try to make the things normal for me either. I was even worried to find his hair slowly falling out.All the day, I would keep worrying about all these problems, which would give me butterflies. Once I even felt bad when I found him giving more importance to his friends and telling me that it’s because I keep complaining to him about everything, he feels alone, and then he looks for friends. this made me feel even worse specially when he doesn’t call me when he is with them. Finally, time came when I told my parents about him. I called him home. My parents accepted him only for me, but also complained about his too silent nature, because sometimes, you need to speak.","All the day, I would keep worrying about all these problems, which would give me butterflies.",Mental filter,,Yes,Emotional Reasoning,1,1,0,0,1,0,0,0,0,0,0,0,0
1823,1823,1741,"My boyfriend immigrated here when he was 5. His family is very involved in their native culture/church and he is not. Due to them previously needing financial help and therefore him being in debt, he is unable to move out for another 1-2 years. They strongly prefer he be with someone from their culture and would constantly pressure him about it. Throughout our relationship they would tell him he should leave and try to set him up with other people (sometimes while I was standing there in their native language).",,No Distortion,,Yes,No Distortion,0,1,0,0,0,0,0,0,0,0,0,0,1
1809,1809,1727,"Well, ever since I was around 13, I’ve felt the urge to kill or seriously injure people. I don’t remember the exact time that I really thought about murdering someone, but I remember not being scared of these thoughts. They still don’t scare me. I honestly feel like I could do it. I haven’t told anyone about this, and I don’t think I will. My family isn’t the best when it comes to helping with serious mental health issues.",,No Distortion,,No,No Distortion,0,0,0,0,0,0,0,0,0,0,0,0,1
1237,1237,1055,"From the U.S.: I’ve recently been cut off from a couple of friends who I have romantic feelings for. I can’t shut off my feelings for them and I was having regular panic attacks about it, so they no longer talk to me. We had been living together and they asked me to leave. It’s been three months and I can’t stop thinking about them.",It’s been three months and I can’t stop thinking about them.,Magnification,,Yes,Emotional Reasoning,1,1,0,0,0,0,1,0,0,0,0,0,0
1330,1330,1148,"Over periods in the day I feel this “brain fog” or feel very mentally drained. I usually comfortably spend a lot of time thinking, but at these times my brain feels empty. Too tired to think, and to focus takes a lot of conscious effort and energy. It’s especially apparent during conversations, when I suddenly realize I haven’t been hearing anything they’re saying. It’s not that I get distracted- I just disconnect and don’t even notice the disconnection starting. I have to consciously force my attention.",,No Distortion,,No,No Distortion,0,0,0,0,0,0,0,0,0,0,0,0,1
1026,1026,827,"I’m currently in a very happy and otherwise healthy, long-term romantic relationship for the first time in my life. My boyfriend is a very caring and sensitive guy and we both love each other very much, but I’m concerned that some of my pre-existing sexual issues may cause problems down the road for our relationship. I have primary vaginismus and vulvodynia, and my first sexual experiences were very negative and traumatic. I have been to a gynecologist about these issues and went through physical therapy to try and overcome them, but even after a few years penetration is still painful and sometimes very difficult. While trusting my partner makes a big difference in reducing the amount of pain I’m in during sex, and with my current boyfriend there have been several occasions where it was virtually painless, it’s still a constant factor in my sex-life. While I do enjoy the intimacy of sex with my boyfriend despite this, I have never been able to achieve orgasm no matter what my partner tries to do or for how long. Even with assistance from vibrators it’s virtually impossible, and the only way I’ve managed to achieve orgasm is by my own intervention. I don’t understand why I have this issue, especially because I am very attracted to him. My boyfriend doesn’t complain to me about it or anything like that, but I can tell that it makes him feel self-conscious. I’ve tried explaining to him that it’s not his fault at all, but I worry that he still feels like he’s inadequate. What should I do?","I’ve tried explaining to him that it’s not his fault at all, but I worry that he still feels like he’s inadequate.",Mind Reading,,Yes,Mind Reading,1,1,0,0,0,0,0,0,0,1,0,0,0
585,585,386,"My son is 15 and a freshman in high school. He is very athletic and has wrestled since he was 5 years old. He is very talented and wrestles on the national level with a lot of success. However, he recently decided he doesn’t want to wrestle in high school. My husband and all the coaches want him to wrestle at least his first year in high school to see if he likes it. He says he wants to box instead. My husband and his coach said he will regret it if he doesn’t wrestle because he is so talented. I don’t know if I should force him to wrestle one year in high school and see how it is, then, if he doesn’t want to continue that’s fine. Practice is right after school and his older brother wrestled too so he doesn’t have a ride home unless I come to get him. My husband said I should just let him stay at school until wrestling is over and his brother can bring him after practice. I don’t know what to do… is it ok to say “you are going wrestle for at least one more year?” (From the USA)",,No Distortion,,Yes,Should Statements,0,1,0,0,0,0,0,0,0,0,0,0,1
2092,2092,1939,"I recently ended a 3 year relationship with someone who I’ve realized was emotionally abusive. I started wondering if I was being abused about a year ago, and recently read an article on this website that seemed to detail exactly how I feel and how I was treated. The title of this article is ‘Emotional Abuse and the Impact of Absence.’ He would withdraw without telling me what was wrong, leaving me to guess. He would rarely apologize, and seemed to be emotionally unavailable. Sometimes his withdrawal was due to me being upset about something that had nothing to do with him. He was extremely critical of my children, and my family. He found fault in the way my kids walked too loud, held their fork wrong, a look on their face he didn’t like, etc. and claimed that it wasn’t their behavior that was the problem, but my lack of disciplining them for it. However, it seemed no matter how I responded, he would find fault with it, and I felt like I was walking on eggshells when he was around because I never knew what would irritate him next.  In the past, I have tried to tell him how his actions made me feel, and how it affected me, but he responded with defensiveness and I ended up feeling worse, like everything was my fault. I felt like I was accepting any crumb of affection or attention from him even though I knew I wasn’t being treated right. I quit trying to talk to him about my hurt feelings because I feared it would just make him withdraw more, and possibly end the relationship. I’ve told him the situation was emotionally unhealthy for me, but I never confronted him about his actions being emotionally abusive. Now that the relationship has ended, I’m still struggling with all the hurtful things he did, and can’t seem to get past it. Should I confront him and tell him I think he was emotionally abusive and why? I’m afraid if I do, he’ll respond negatively and I’ll end up feeling worse, and if I don’t, it will continue to eat away at me, and I’ll regret not standing up for myself. (age 42, from US)","In the past, I have tried to tell him how his actions made me feel, and how it affected me, but he responded with defensiveness and I ended up feeling worse, like everything was my fault. ",Personalization,,Yes,Fortune-telling,1,1,0,0,0,0,0,0,0,0,1,0,0
