Patient Question,Dominant Distortion,Prompt,Response
"My husband works a lot which really helps our family. The problem is he never wants to go anywhere with my children and me. When he gets home from work, he’s highly irritable and often goes around the house criticizing me for practically everything. Cleaning, watching the kids, what I did or didn’t do during the day, Ext. Most every time I talk with him, he has something negative to say about me. Something I didn’t do right. This is really starting to wear on me. My Self Esteem is pretty bad and this makes it worse. I also get very anxious when I know he’s coming home soon, because I know it is going to be constant critiques. Also, when I ask him if he wants to go someplace with me and the kids, he never wants to and gets upset about it. I get in a bad mood too and he ends up leaving. In which doesn’t make any sense because he said he didn’t want to go anywhere. I have told him how much these things bother me. Every time, he turns around and says what bother him. Nothing gets resolved. I work from home and it’s difficult because I am also watching the kids. He doesn’t like anyone else watching the kids so I try to the majority of the time, unless I have somewhere important to go to. We used to be a lot different. We would go out to dinner, shopping, ext. We would watch TV together and he really didn’t critique me all too much. He used to say good things about me in which he doesn’t say anymore. For example, he used to call me “pretty girl”. He has not said that for awhile now. We have also went through some crap that hurt our relationship. I wasn’t very mature when we started dating so I made some poor decisions that I would never do presently. I’d love to know what changed our relationship so much? Is he acting like this for revenge or because he’s not happy? I can honestly say I’m miserable when I’m around him. I cannot say I’m overall miserable because I do enjoy spending time with my children. My underneath layer is hurt, badly. I feel like my feelings don’t matter. I don’t know when and if to call it quits. We have been married for 6 years and I don’t give up easily. I do love him but I wish he was how he was when we got married. He actually cared and SHOWED me how much he loved me.",Overgeneralization,"My husband works a lot which really helps our family. The problem is he never wants to go anywhere with my children and me. When he gets home from work, he’s highly irritable and often goes around the house criticizing me for practically everything. Cleaning, watching the kids, what I did or didn’t do during the day, Ext. Most every time I talk with him, he has something negative to say about me. Something I didn’t do right. This is really starting to wear on me. My Self Esteem is pretty bad and this makes it worse. I also get very anxious when I know he’s coming home soon, because I know it is going to be constant critiques. Also, when I ask him if he wants to go someplace with me and the kids, he never wants to and gets upset about it. I get in a bad mood too and he ends up leaving. In which doesn’t make any sense because he said he didn’t want to go anywhere. I have told him how much these things bother me. Every time, he turns around and says what bother him. Nothing gets resolved. I work from home and it’s difficult because I am also watching the kids. He doesn’t like anyone else watching the kids so I try to the majority of the time, unless I have somewhere important to go to. We used to be a lot different. We would go out to dinner, shopping, ext. We would watch TV together and he really didn’t critique me all too much. He used to say good things about me in which he doesn’t say anymore. For example, he used to call me “pretty girl”. He has not said that for awhile now. We have also went through some crap that hurt our relationship. I wasn’t very mature when we started dating so I made some poor decisions that I would never do presently. I’d love to know what changed our relationship so much? Is he acting like this for revenge or because he’s not happy? I can honestly say I’m miserable when I’m around him. I cannot say I’m overall miserable because I do enjoy spending time with my children. My underneath layer is hurt, badly. I feel like my feelings don’t matter. I don’t know when and if to call it quits. We have been married for 6 years and I don’t give up easily. I do love him but I wish he was how he was when we got married. He actually cared and SHOWED me how much he loved me.","Distortion Present: Y
Cognitive Distortion: All-or-Nothing Thinking 

The client describes their relationship with their husband as being ""miserable"" when they're around him, but also mentions that they enjoy spending time with their children. This suggests a binary thought pattern where anything short of perfection is considered a failure or a complete negative experience."
"Moved to another state left everything for my son who moved here bf me. He lives with dad and stepmom. Been a nightmare since I moved here. Now I have no job, no money, no family support. My friend back home said he’ll get me home, he sends money and not a plane or bus ticket. I’m so sad and hurt, haven’t caused issues for the ex and his new wife, just wanted to be here for my son’s senior year. I cry everyday! (age 44, from US)",Mental filter,"Moved to another state left everything for my son who moved here bf me. He lives with dad and stepmom. Been a nightmare since I moved here. Now I have no job, no money, no family support. My friend back home said he’ll get me home, he sends money and not a plane or bus ticket. I’m so sad and hurt, haven’t caused issues for the ex and his new wife, just wanted to be here for my son’s senior year. I cry everyday! (age 44, from US)","Distortion Present: Y
Cognitive Distortion: Emotional Reasoning"
"It has been more than a year now , I feel alone, depressed, don’t feel like talking to anyone, just like to be alone. Also have been too much emotional these days. I don’t have any girl friend or even a person who cares for me , except my mother, in my entire life. This all has started because I cant see my mother not getting respect from my father after staying with him for almost 30 years. I feel this so much , but I am not able to speak on this with either of them. I just keep on crying from inside. I cry while sleeping thinking of all this. This is affecting my behavior and I am no more a social person. I have lost all my friends. Even in office I just talk work. Some of my close friends say that I inspire them with the way I work, but when I come back home I just see all those things which I have seen over the years which makes me to forget the kind of person I am or I was to be. I have never got love. Because of all this my self esteem is gone way low. I am confident when it is work, but when colleagues go for tea break or lunch together I am uncomfortable to go with them as I don’t know or I am not confident on my behavior. I don’t sleep well, I stay awake late nights, get up late in morning. I have lost weight not eating much. Also about my past , I am not been able to do much friendship in school and college as well. Even in my family I have always been kept aside for all important things, they just think that I cant do it just because I don’t speak much. I am fed up of all these, these days and I am seeking for an advice or help. It would be glad if someone can talk to me or can help me to find way out of this. Thanks in advance !! (age 26,from India)",Mental filter,"It has been more than a year now , I feel alone, depressed, don’t feel like talking to anyone, just like to be alone. Also have been too much emotional these days. I don’t have any girl friend or even a person who cares for me , except my mother, in my entire life. This all has started because I cant see my mother not getting respect from my father after staying with him for almost 30 years. I feel this so much , but I am not able to speak on this with either of them. I just keep on crying from inside. I cry while sleeping thinking of all this. This is affecting my behavior and I am no more a social person. I have lost all my friends. Even in office I just talk work. Some of my close friends say that I inspire them with the way I work, but when I come back home I just see all those things which I have seen over the years which makes me to forget the kind of person I am or I was to be. I have never got love. Because of all this my self esteem is gone way low. I am confident when it is work, but when colleagues go for tea break or lunch together I am uncomfortable to go with them as I don’t know or I am not confident on my behavior. I don’t sleep well, I stay awake late nights, get up late in morning. I have lost weight not eating much. Also about my past , I am not been able to do much friendship in school and college as well. Even in my family I have always been kept aside for all important things, they just think that I cant do it just because I don’t speak much. I am fed up of all these, these days and I am seeking for an advice or help. It would be glad if someone can talk to me or can help me to find way out of this. Thanks in advance !! (age 26,from India)","Distortion Present: Y
Cognitive Distortion: Overgeneralization 

The patient's statement ""I don't have any girl friend or even a person who cares for me , except my mother"" is an example of overgeneralizing. They are drawing a sweeping negative conclusion that they have never had anyone care for them, which may not be entirely true given the fact that their close friends at work find inspiration in their work ethic and their mother does care for them."
"My sister has autism spectrum disorder, she always had problems with depression and anxiety. She always spoke to herself when we were younger, but about a year ago she got hit by a car and fractured her skull in 12 places. And now she’s different, she has violent tendencies and she says she thinks people are talking about her or staring at her when no one is, she thought my mom and aunt were talking about her but we haven’t seen her in over a month so she couldn’t have known at all. She thinks everyone is out to get her. I tried looking up schizophrenia and the stages of it but it doesn’t quite match up. She feels every emotion, she is very caring, but she needs help but won’t get it because she thinks what she’s hearing is true.",Mind Reading,"My sister has autism spectrum disorder, she always had problems with depression and anxiety. She always spoke to herself when we were younger, but about a year ago she got hit by a car and fractured her skull in 12 places. And now she’s different, she has violent tendencies and she says she thinks people are talking about her or staring at her when no one is, she thought my mom and aunt were talking about her but we haven’t seen her in over a month so she couldn’t have known at all. She thinks everyone is out to get her. I tried looking up schizophrenia and the stages of it but it doesn’t quite match up. She feels every emotion, she is very caring, but she needs help but won’t get it because she thinks what she’s hearing is true.","Distortion Present: Y
Cognitive Distortion: Mind Reading"
"I have 4 “versions” of myself. The main one (me) is the artistic one and sees everything in a positive light but can get depressed easily. The second main is Jake who is logical and sees everything more realistically but can get angry easier than the rest of us and is the strongest. The third version is Jack who is a over confident person who has no emotions for others and gets things he wants for the body’s benefit. The fourth one jakey is the happiest out of all of us and is very careless about the body. jakey sees things as “life is short so why not” type of attitude.jakey comes out in a very happy scene or when I get into a deep depressed state. We are all aware of each other and we all share the same memories. They started to exist after an overwhelming event of getting out of a bad relationship, going home to angry parents, and going to school was hell. I was 13 at the time and I kept my sadness inside because I didn’t want to worry my parents even more. I have a history of suicidal actions, and self-hurting actions. There are times where we all fight like siblings but nothing too harsh. They don’t look different from me however they act a lot different from me. I hope this make sense. Its not multiple personality because they look like me but they act very different from me (hence they are called versions) However, I know that it’s not nothing. I’ve decided to accept them and let them have full control of the body for one day throughout the week. Please tell me if this is a mistake or if there is something better I should do. Thank you for your time.",Mind Reading,"I have 4 “versions” of myself. The main one (me) is the artistic one and sees everything in a positive light but can get depressed easily. The second main is Jake who is logical and sees everything more realistically but can get angry easier than the rest of us and is the strongest. The third version is Jack who is a over confident person who has no emotions for others and gets things he wants for the body’s benefit. The fourth one jakey is the happiest out of all of us and is very careless about the body. jakey sees things as “life is short so why not” type of attitude.jakey comes out in a very happy scene or when I get into a deep depressed state. We are all aware of each other and we all share the same memories. They started to exist after an overwhelming event of getting out of a bad relationship, going home to angry parents, and going to school was hell. I was 13 at the time and I kept my sadness inside because I didn’t want to worry my parents even more. I have a history of suicidal actions, and self-hurting actions. There are times where we all fight like siblings but nothing too harsh. They don’t look different from me however they act a lot different from me. I hope this make sense. Its not multiple personality because they look like me but they act very different from me (hence they are called versions) However, I know that it’s not nothing. I’ve decided to accept them and let them have full control of the body for one day throughout the week. Please tell me if this is a mistake or if there is something better I should do. Thank you for your time.","Distortion Present: Y
Cognitive Distortion: Overgeneralization 

The anecdote describes four distinct ""versions"" of yourself, each with their own personality traits and behaviors. While it's understandable that you're trying to make sense of these different aspects of yourself, the statement ""I have a history of suicidal actions, and self-hurting actions"" is an example of overgeneralization. This phrase implies that your entire past has been marked by such negative experiences, which may not be entirely accurate. It's possible that you've had some difficult times, but it's also likely that there are other aspects of your life and personality that have contributed to who you are today.

Additionally, the fact that you're considering letting these different ""versions"" take control of your body for one day a week suggests that you may be struggling with feelings of fragmentation or disconnection from yourself. This could be an opportunity to explore further how these different aspects of yourself interact and impact your overall well-being."
My girlfriend and i have been dating for 5 years. With being sexual active with each other for 3 years prior. Before we started dating and for the first year of our relationship her sex drive was amazing. Over time it slowly decreased. It is to the point now where we have sex 1-2 times a month.,Overgeneralization,My girlfriend and i have been dating for 5 years. With being sexual active with each other for 3 years prior. Before we started dating and for the first year of our relationship her sex drive was amazing. Over time it slowly decreased. It is to the point now where we have sex 1-2 times a month.,"Distortion Present: Y
Cognitive Distortion: All-or-Nothing Thinking 

(Note: The client seems to be focusing on the decrease in their girlfriend's sex drive, implying that it has gone from ""amazing"" to non-existent. This binary thought pattern suggests an expectation of perfection or a specific level of performance, which is not realistic.)"
"I’ve been having emotional issues for a few years. Nonetheless, these have been somewhat manageable. However, I became increasingly paranoid this winter. I thought that people were trying to poison me, I feared that family members were going to kill me. I was aware that these thoughts were illogical, but I couldn’t shake the fear that they caused me. I would get panic attacks thinking that I drank from a poisoned water fountain. I thought that someone had put small rips in my ice cream sandwich packaging because there was only one that didn’t have tiny rips in it. I refused to eat this one because I assumed some reverse psychology was being pulled and the ones without the rips were fine. I thought that this was mostly caused by anxiety but there are other symptoms that lead me to believe it is something more:",Emotional Reasoning,"I’ve been having emotional issues for a few years. Nonetheless, these have been somewhat manageable. However, I became increasingly paranoid this winter. I thought that people were trying to poison me, I feared that family members were going to kill me. I was aware that these thoughts were illogical, but I couldn’t shake the fear that they caused me. I would get panic attacks thinking that I drank from a poisoned water fountain. I thought that someone had put small rips in my ice cream sandwich packaging because there was only one that didn’t have tiny rips in it. I refused to eat this one because I assumed some reverse psychology was being pulled and the ones without the rips were fine. I thought that this was mostly caused by anxiety but there are other symptoms that lead me to believe it is something more:","Distortion Present: Y
Cognitive Distortion: Mind Reading"
"My daughter recently moved into my home and shortly after I started to have problems with my boyfriend I feel like he was cheeting on me, then he got an std which thank God i didn’t get it we were not having sexist the time he rejects me all the time . So anyways I left my phone recording one morning while I took my other kids to school .. it was just to hear if called someone he was cheeting with to my surprise I hear him with a. Girl getting pleasure and towards the end he said her name and his talking to her as i walk in … she was the only one here. I confronted both of them but they deny it … now I don’t trust them alone.",Overgeneralization,"My daughter recently moved into my home and shortly after I started to have problems with my boyfriend I feel like he was cheeting on me, then he got an std which thank God i didn’t get it we were not having sexist the time he rejects me all the time . So anyways I left my phone recording one morning while I took my other kids to school .. it was just to hear if called someone he was cheeting with to my surprise I hear him with a. Girl getting pleasure and towards the end he said her name and his talking to her as i walk in … she was the only one here. I confronted both of them but they deny it … now I don’t trust them alone.","Distortion Present: Y
Cognitive Distortion: Mind Reading 

(Note: The distortion is present because you're assuming that your boyfriend and his friend are denying the infidelity because they're guilty, rather than considering alternative explanations for their denial. This assumption is based on a conclusion about others' thoughts or feelings without any basis in fact.)"
"I feel like I’m a somewhat normal person. I’m too scared from social anxiety to ever try to be “out there”. Despite that, my mom always looks at me with distaste. She once took me out with her to go shopping, and when I brought clothes to the changing room, she looked at me like I was crazy for wanting to buy anything (why bring me shopping if she doesn’t want me to get anything???). She doesn’t like when I spend money, even if it’s not her money. She doesn’t like it when I wear shorts(even in the summer heat), or anything semi-nice, I feel like she is slut-shaming me with her eyes, and I don’t even dress inappropriately because of my issues with my body.",Mind Reading,"I feel like I’m a somewhat normal person. I’m too scared from social anxiety to ever try to be “out there”. Despite that, my mom always looks at me with distaste. She once took me out with her to go shopping, and when I brought clothes to the changing room, she looked at me like I was crazy for wanting to buy anything (why bring me shopping if she doesn’t want me to get anything???). She doesn’t like when I spend money, even if it’s not her money. She doesn’t like it when I wear shorts(even in the summer heat), or anything semi-nice, I feel like she is slut-shaming me with her eyes, and I don’t even dress inappropriately because of my issues with my body.","Distortion Present: Y
Cognitive Distortion: Mind Reading"
"Hi, I am 24 and my sister is 22, and she has got to be the most selfish person (family wise) that I know. Anytime anyone from our immediate family asks her for a favor she is too busy or looks at us like she can not believe we are asking her for a favor. A few examples would be our mom had an eye appt and she needed a ride home because she could not drive after, she asked my sister to pick her up and my sister of course was too busy because she was going to go and meet some friends so our mom had to find another way home. When my mom got home my sister seemed like she was so offended that my mom found an alternate way home and didnt call her for a ride………yet she told my mom that she was too busy to pick her up. Another example would be our youngest sister was arriving at the airport and instead of taking a cab home she asked our sister to pick her up, of course again she said no she was going camping so our youngest sister found an alternate way home. My sister who was going camping, then felt she had the right to be upset because she went to the airport to pick her up and she wasn’t there, even though she was too busy to pick her up when she was asked for the favor.",Labeling,"Hi, I am 24 and my sister is 22, and she has got to be the most selfish person (family wise) that I know. Anytime anyone from our immediate family asks her for a favor she is too busy or looks at us like she can not believe we are asking her for a favor. A few examples would be our mom had an eye appt and she needed a ride home because she could not drive after, she asked my sister to pick her up and my sister of course was too busy because she was going to go and meet some friends so our mom had to find another way home. When my mom got home my sister seemed like she was so offended that my mom found an alternate way home and didnt call her for a ride………yet she told my mom that she was too busy to pick her up. Another example would be our youngest sister was arriving at the airport and instead of taking a cab home she asked our sister to pick her up, of course again she said no she was going camping so our youngest sister found an alternate way home. My sister who was going camping, then felt she had the right to be upset because she went to the airport to pick her up and she wasn’t there, even though she was too busy to pick her up when she was asked for the favor.","Distortion Present: Y
Cognitive Distortion: Personalization 

(Note: The patient is taking on responsibility for their sister's behavior, implying that they are somehow responsible for their sister's actions and reactions. This is an example of personalizing events beyond one's control.)"
